name,website,street,phone,email,appfee,web,listing,typed,neighborhoods
Abington Properties,https://www.nybits.com/managers/abington.html,"950 Third Avenue New York, NY 10022",212-759-5000,info@abingtonproperties.com,$100,www.abingtonproperties.com,Managed: 26 no-fee ,Management Company,
"A.D. Real Estate Investors, Inc",https://www.nybits.com/managers/ad-real-estate.html,"45 Cuttermill Road, Suite 1 Great Neck, NY 11021",516-487-9516,,$75,www.adrealestateinc.com,Managed: 19 no-fee ,Management Company,
Aimco,https://www.nybits.com/managers/aimco.html,"315 Madison Avenue, 17th fl New York, NY 10017",212-430-3692,,$125,www.aimconyc.com,Managed: 23 no-fee ,Management Company,
"Albanese Organization, Inc",https://www.nybits.com/managers/albanese.html,"1050 Franklin Avenue Garden City, NY 11530",212-227-0222 (Rentals)516-746-6000 (Corporate),,,www.albaneseorg.com,Managed: 12 no-fee ,Management Company,
Algin Management,https://www.nybits.com/managers/algin.html,,212-213-1727,,$100,www.alginny.com,Managed: 6 no-fee ,Management Company,
Applied Development Company,https://www.nybits.com/managers/applied_co.html,"5 Marine View Plaza Hoboken, NJ 07030",,info@appliedco.com,,www.appliedco.com,Managed: 98 no-fee ,Management Company,
ATA Enterprises,https://www.nybits.com/managers/ata.html,"800 Third Avenue New York, NY 10022",212-308-1888,,$75,www.ataenterprises.com,Managed: 16 no-fee ,Management Company,
B&L Management,https://www.nybits.com/managers/b_l_management.html,"316 East 63rd Street, Suite 1A New York, NY 10065",212-906-2800,,,www.bandlmanagement.com,Managed: 5 no-fee ,Management Company,
Bettina Equities,https://www.nybits.com/managers/bettina.html,"227 East 85th street New York, NY 10028",212-744-3330212-861-6043 (fax),info@bettinaequities.com,,www.bettinaequities.com,Managed: 62 no-fee ,Management Company,
"Big Apple Management, LLC",https://www.nybits.com/managers/big_apple_mgmt.html,"347 Fifth Avenue, Suite 1201 New York, NY 10016",212-947-5656,apts@bigapplenyc.com,,www.bigapplenyc.com,Managed: 7 no-fee Brokered: 1 no-fee ,Management Company,
Bozzuto Management,https://www.nybits.com/managers/bozzuto.html,,301-220-0100,,,www.bozzuto.com,Managed: 68 no-fee ,Management Company,
Bridgeline,https://www.nybits.com/managers/bridgeline_pm.html,"1745 Broadway, 17th floor New York, NY 10019",,,,,Managed: 10 no-fee ,Management Company,
Broad Street Development,https://www.nybits.com/managers/bsdre.html,"61 Broadway New York, NY 10006",212-609-3700,info@bsdre.com,,www.bsdre.com,Managed: 1 no-fee ,Management Company,
Broadwall Management Corporation,https://www.nybits.com/managers/broadwall.html,"Seven Penn Plaza New York, NY 10001",212-279-7600,,$125,www.broadwallmgmt.com,Managed: 3 no-fee ,Management Company,
Brodsky Organization,https://www.nybits.com/managers/brodsky.html,"400 West 59th street, 3rd floor New York, NY 10019",212-315-5555212-315-5963 (fax),,,www.brodskyorg.com,Managed: 66 no-fee ,Management Company,
"C&C Apartment Management, LLC",https://www.nybits.com/managers/candc.html,"1735 Park Avenue, 3rd floor New York, NY 10035",212-348-3248212-348-3602 (fax),,,www.ccmanagers.com,Managed: 3 no-fee ,Management Company,
Carlyle Construction Corporation,https://www.nybits.com/managers/carlyle.html,"340 East 46th Street New York, NY 10017",212-682-7300212-370-4398 (fax),,,www.cccnyc.com,Managed: 31 no-fee ,Management Company,
Clipper Equity,https://www.nybits.com/managers/clipper_equity.html,"4611 12th Avenue Brooklyn, NY 11219",718-438-2804,,,www.clipperequity.com,Managed: 29 no-fee ,Management Company,
CoSo Apartments,https://www.nybits.com/managers/co_so_apartments.html,"933 Amsterdam Avenue New York, NY 10025",646-559-0251,,,www.cosoapartments.com,Managed: 43 no-fee ,Management Company,
Croman Real Estate Inc,https://www.nybits.com/managers/9300_realty.html,"632 Broadway, 7th Floor New York, NY 10012",212-228-9300,,,www.9300realty.com,Managed: 103 no-fee Brokered: 1 no-fee ,Management Company,
Dermot Realty Mgmt,https://www.nybits.com/managers/dermot.html,"320 West 57th St., 5th Floor New York, NY 10019",212-488-1770 (main)646-747-6131 (leasing),,$100,www.dermotproperties.com,Managed: 33 no-fee ,Management Company,
Eberhart Brothers,https://www.nybits.com/managers/eberhart_brothers.html,"312 East 82nd Street New York, NY 10028",212-570-2400,,$75,www.eberhartbros.com,Managed: 58 no-fee ,Management Company,
Equity Residential,https://www.nybits.com/managers/equity_residential.html,"2 North Riverside Plaza, Suite 450 Chicago, IL 60606",,,,,Managed: 481 no-fee ,Management Company,
Fetner,https://www.nybits.com/managers/fetner.html,"675 Third Avenue, Suite 2800 New York, NY 10017",,,,www.fetner.com,Managed: 7 no-fee  and 2 fee,Management Company,
"Gatsby Enterprises, LLC",https://www.nybits.com/managers/gatsby_enterprises.html,"347 Fifth Ave, Suite 300 New York, NY 10016",,,,,Managed: 12 no-fee ,Management Company,
Gilar Realty,https://www.nybits.com/managers/gilar_realty.html,,212-391-1066,info@gilarproperties.com,,www.gilarproperties.com,Managed: 1 no-fee ,Management Company,
Glenwood Management,https://www.nybits.com/managers/glenwood.html,,212-535-0500 (Uptown Office)212-430-5900 (Downtown Office),,,www.glenwoodnyc.com,Managed: 67 no-fee ,Management Company,
Goldfarb Properties,https://www.nybits.com/managers/goldfarb.html,,718-471-7800,,$75,www.goldfarbproperties.com,Managed: 47 no-fee ,Management Company,
"Gotham Organization, Inc.",https://www.nybits.com/managers/gotham.html,"1010 Avenue of The Americas New York, NY 10018",212-599-0520212-983-4588 (fax),,,www.gothamorganization.com,Managed: 12 no-fee ,Management Company,
Greystar,https://www.nybits.com/managers/greystar.html,"477 Madison Avenue, 6th fl New York, NY 10022",,,,www.greystar.com,Managed: 30 no-fee ,Management Company,
Hakimian,https://www.nybits.com/managers/hakimian.html,"8 West 40th Street, 6th Floor New York, NY 10018",212-683-9292,,,www.hakimian.com,Managed: 8 no-fee  and 2 feeBrokered: 1 fee,Management Company,
